[ERROR] 203.66.211.140   => 61.0.120.65     	 real_cnt=2    	 estimate = 46.0  
[ERROR] 203.66.211.140   => 117.65.191.73   	 real_cnt=2    	 estimate = 6.0   
[PASS]  163.221.169.194  => 122.211.67.1    	 real_cnt=22   	 estimate = 20.0  
[PASS]  203.66.211.140   => 218.29.13.91    	 real_cnt=2    	 estimate = 2.0   
[PASS]  203.66.211.140   => 180.47.21.253   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 172.39.225.172   => 163.221.6.110   	 real_cnt=14   	 estimate = 12.0  
[PASS]  203.66.211.140   => 121.169.88.237  	 real_cnt=2    	 estimate = 2.0   
[PASS]  114.156.22.199   => 133.117.142.193 	 real_cnt=2    	 estimate = 2.0   
[PASS]  203.66.211.140   => 39.94.40.163    	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.200.10    => 205.244.185.229 	 real_cnt=2    	 estimate = 8.0   
[ERROR] 131.31.229.120   => 125.62.194.167  	 real_cnt=2    	 estimate = 6.0   
[ERROR] 203.66.211.140   => 110.72.243.234  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 74.141.51.113    => 163.221.159.101 	 real_cnt=4    	 estimate = 6.0   
[ERROR] 111.90.51.116    => 203.66.211.140  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 131.31.129.41    => 23.77.212.26    	 real_cnt=8    	 estimate = 2.0   
[ERROR] 150.192.57.145   => 124.101.249.134 	 real_cnt=8    	 estimate = 2.0   
[PASS]  160.180.62.210   => 203.227.82.6    	 real_cnt=2    	 estimate = 2.0   
[PASS]  203.66.195.171   => 49.216.63.75    	 real_cnt=130  	 estimate = 126.0 
[ERROR] 202.13.220.49    => 210.90.71.123   	 real_cnt=2    	 estimate = 26.0  
[ERROR] 182.230.46.36    => 203.66.203.138  	 real_cnt=10   	 estimate = 8.0   
[PASS]  203.66.211.140   => 122.112.61.86   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 118.66.63.154   	 real_cnt=2    	 estimate = 14.0  
[ERROR] 163.221.32.84    => 17.249.22.50    	 real_cnt=170  	 estimate = 6.0   
[ERROR] 203.66.193.201   => 52.191.8.34     	 real_cnt=2    	 estimate = 0.0   
[ERROR] 150.192.204.122  => 147.93.105.101  	 real_cnt=4    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 182.220.59.65   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 131.31.240.73    => 121.133.173.145 	 real_cnt=4    	 estimate = 30.0  
[ERROR] 133.164.211.249  => 114.156.22.199  	 real_cnt=2    	 estimate = 6.0   
[ERROR] 172.39.49.204    => 131.30.132.12   	 real_cnt=2    	 estimate = 4.0   
[ERROR] 108.121.153.178  => 163.221.83.102  	 real_cnt=2    	 estimate = 104.0 
[ERROR] 203.66.211.140   => 221.225.201.101 	 real_cnt=2    	 estimate = 24.0  
[ERROR] 203.66.211.140   => 182.3.86.54     	 real_cnt=2    	 estimate = 0.0   
[PASS]  203.66.211.140   => 203.236.80.96   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 172.39.231.94    => 150.192.122.18  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 133.164.215.119  => 89.148.70.104   	 real_cnt=2    	 estimate = 6.0   
[PASS]  61.199.166.188   => 203.66.211.140  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 172.39.225.172   => 131.30.163.46   	 real_cnt=6    	 estimate = 0.0   
[ERROR] 114.156.22.199   => 133.117.32.172  	 real_cnt=2    	 estimate = 26.0  
[PASS]  203.227.95.226   => 141.207.21.52   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.193.201   => 220.241.188.122 	 real_cnt=2    	 estimate = 6.0   
[ERROR] 203.66.211.140   => 153.93.14.140   	 real_cnt=2    	 estimate = 4.0   
[ERROR] 202.247.220.250  => 49.216.106.62   	 real_cnt=2    	 estimate = 12.0  
[PASS]  150.192.176.105  => 192.255.104.200 	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 103.134.14.64   	 real_cnt=2    	 estimate = 22.0  
[ERROR] 163.221.75.134   => 99.44.20.153    	 real_cnt=2    	 estimate = 262.0 
[PASS]  114.156.22.199   => 133.117.32.190  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 110.146.233.81  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 216.245.69.100   => 150.192.178.83  	 real_cnt=2    	 estimate = 22.0  
[ERROR] 133.164.211.218  => 114.156.22.199  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 101.194.153.143 	 real_cnt=2    	 estimate = 4.0   
